dr-x------    2 root     root             0 Jun 30 14:59 .
dr-xr-xr-x    9 root     root             0 Feb 17 09:36 ..
lrwx------    1 root     root            64 Jul  8 02:11 228 -> socket:[602859276]
lrwx------    1 root     root            64 Jul  3 10:39 229 -> socket:[389201910]
lrwx------    1 root     root            64 Jul  4 10:39 23 -> anon_inode:[eventfd]
lrwx------    1 root     root            64 Jul  3 10:39 231 -> socket:[602851204]
lrwx------    1 root     root            64 Jul  8 02:11 232 -> socket:[607421993]
lrwx------    1 root     root            64 Jul 10 10:39 233 -> socket:[602859277]
lrwx------    1 root     root            64 Jul  9 15:26 234 -> socket:[602859280]
lrwx------    1 root     root            64 Jul 10 10:40 235 -> socket:[607434031]
lrwx------    1 root     root            64 Jul  8 10:39 239 -> socket:[607439889]
lrwx------    1 root     root            64 Jul  4 10:39 24 -> anon_inode:[eventpoll]
lrwx------    1 root     root            64 Jul  3 10:39 240 -> socket:[389206059]
lrwx------    1 root     root            64 Jul  3 10:39 241 -> socket:[389206060]
lrwx------    1 root     root            64 Jul  4 10:39 25 -> anon_inode:[timerfd]
lrwx------    1 root     root            64 Jul  3 10:39 254 -> socket:[389206155]
lrwx------    1 root     root            64 Jul  3 10:39 256 -> socket:[389206157]
lrwx------    1 root     root            64 Jul  3 10:39 257 -> socket:[389205517]
lrwx------    1 root     root            64 Jul  4 10:39 26 -> socket:[10688]
lrwx------    1 root     root            64 Jul  4 10:39 27 -> socket:[389207334]
lrwx------    1 root     root            64 Jul  4 10:39 28 -> socket:[389209788]
lrwx------    1 root     root            64 Jul  4 10:39 29 -> /control4/db/mm.db
l-wx------    1 root     root            64 Jul  4 10:39 3 -> /mnt/internal/log/driver_debug.log
lrwx------    1 root     root            64 Jul  4 10:39 30 -> socket:[607422608]
lrwx------    1 root     root            64 Jul  4 10:39 31 -> socket:[417378363]
lrwx------    1 root     root            64 Jul  4 10:39 32 -> socket:[12453]
lrwx------    1 root     root            64 Jul  4 10:39 33 -> /opt/control4/var/director/identity.db
lrwx------    1 root     root            64 Jul  4 10:39 34 -> anon_inode:[eventfd]
lrwx------    1 root     root            64 Jul  4 10:39 35 -> socket:[438850884]
lrwx------    1 root     root            64 Jul  4 10:39 36 -> socket:[438850885]
lrwx------    1 root     root            64 Jul  4 10:39 37 -> socket:[438850886]
lrwx------    1 root     root            64 Jul  4 10:39 38 -> socket:[438850887]
lrwx------    1 root     root            64 Jul  4 10:39 39 -> socket:[438850888]
lrwx------    1 root     root            64 Jul  4 10:39 4 -> socket:[546216119]
lrwx------    1 root     root            64 Jul  4 10:39 40 -> socket:[438850889]
lrwx------    1 root     root            64 Jul  4 10:39 41 -> socket:[438850890]
lrwx------    1 root     root            64 Jul  4 10:39 42 -> socket:[438850891]
lrwx------    1 root     root            64 Jul  4 10:39 43 -> socket:[438850892]
lrwx------    1 root     root            64 Jul  4 10:39 44 -> socket:[438850893]
lrwx------    1 root     root            64 Jul  4 10:39 45 -> socket:[438850894]
lrwx------    1 root     root            64 Jul  4 10:39 46 -> socket:[438850895]
lrwx------    1 root     root            64 Jul  4 10:39 47 -> socket:[607443373]
lrwx------    1 root     root            64 Jul  4 10:39 48 -> socket:[389202866]
lrwx------    1 root     root            64 Jul  4 10:39 49 -> /control4/db/history.db
l-wx------    1 root     root            64 Jul  4 10:39 5 -> /var/volatile/log/debug/driver_log.log
lrwx------    1 root     root            64 Jul  4 10:39 50 -> socket:[389202867]
lrwx------    1 root     root            64 Jul  4 10:39 51 -> socket:[605952778]
lrwx------    1 root     root            64 Jul  4 10:39 52 -> socket:[389201822]
lrwx------    1 root     root            64 Jul  4 10:39 53 -> socket:[389201823]
lrwx------    1 root     root            64 Jul  4 10:39 54 -> socket:[473341070]
lrwx------    1 root     root            64 Jul  4 10:39 55 -> socket:[473341071]
lrwx------    1 root     root            64 Jul  4 10:39 56 -> socket:[434641676]
lrwx------    1 root     root            64 Jul  4 10:39 57 -> socket:[434641677]
lrwx------    1 root     root            64 Jul  4 10:39 58 -> socket:[434641678]
lrwx------    1 root     root            64 Jul  4 10:39 59 -> socket:[434640159]
l-wx------    1 root     root            64 Jul  4 10:39 6 -> /mnt/internal/log/driver_memory.log
lrwx------    1 root     root            64 Jul  4 10:39 60 -> socket:[434640160]
lrwx------    1 root     root            64 Jul  4 10:39 61 -> socket:[389205164]
lrwx------    1 root     root            64 Jul  4 10:39 62 -> socket:[389205165]
lrwx------    1 root     root            64 Jul  3 10:39 63 -> socket:[389203230]
lrwx------    1 root     root            64 Jul  3 10:39 64 -> socket:[389204055]
lrwx------    1 root     root            64 Jul  3 10:39 65 -> socket:[389204056]
lrwx------    1 root     root            64 Jul  3 10:39 66 -> socket:[389204057]
lrwx------    1 root     root            64 Jul  3 10:39 67 -> socket:[389203231]
lrwx------    1 root     root            64 Jul  3 10:39 68 -> socket:[389203232]
lrwx------    1 root     root            64 Jul  3 10:39 69 -> socket:[389203233]
l-wx------    1 root     root            64 Jul  4 10:39 7 -> /var/volatile/log/debug/dumpsys.log
lrwx------    1 root     root            64 Jul  3 10:39 70 -> socket:[389203234]
lrwx------    1 root     root            64 Jul  3 10:39 71 -> socket:[389204071]
lrwx------    1 root     root            64 Jul  3 10:39 72 -> socket:[389205181]
lrwx------    1 root     root            64 Jul  3 10:39 73 -> socket:[546216123]
lrwx------    1 root     root            64 Jul  3 10:39 74 -> socket:[602556314]
l-wx------    1 root     root            64 Jul  3 10:39 75 -> /var/volatile/log/debug/driver_event.log
lr-x------    1 root     root            64 Jul  3 10:39 76 -> pipe:[389204078]
l-wx------    1 root     root            64 Jul  3 10:39 77 -> pipe:[389204078]
lrwx------    1 root     root            64 Jul  3 10:39 78 -> socket:[389204079]
